Event,Fight,Date,Location,Fighter_A,Fighter_B,Method,Round,Fight_Bout,Time,Time Format,Referee,Details
UFC Fight Night: Fiziev vs. Gamrot,Rafael Fiziev vs. Mateusz Gamrot,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Rafael Fiziev,Mateusz Gamrot,KO/TKO,2,Lightweight Bout,2:03,5 Rnd (5-5-5-5-5),Herb Dean,to Leg Injury
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Bryce Mitchell,Dan Ige,Decision - Unanimous,3,Featherweight Bout,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. David Lethaby 28 - 29. Jacob Montalvo 28 - 29.
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,KO/TKO,2,Women's Strawweight Bout,2:42,3 Rnd (5-5-5),Kerry Hatley,Punches to Head From Mount
UFC Fight Night: Fiziev vs. Gamrot,Bryan Battle vs. AJ Fletcher,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Bryan Battle,AJ Fletcher,Submission,2,Welterweight Bout,4:32,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke
UFC Fight Night: Fiziev vs. Gamrot,Ricardo Ramos vs. Charles Jourdain,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Ricardo Ramos,Charles Jourdain,Submission,1,Featherweight Bout,3:12,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard
UFC Fight Night: Fiziev vs. Gamrot,Dan Argueta vs. Miles Johns,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Dan Argueta,Miles Johns,Decision - Unanimous,3,Bantamweight Bout,5:00,3 Rnd (5-5-5),Kerry Hatley,Junichiro Kamijo 27 - 30. Anthony Maness 27 - 30. Jacob Montalvo 28 - 29.
UFC Fight Night: Fiziev vs. Gamrot,Tim Means vs. Andre Fialho,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Tim Means,Andre Fialho,KO/TKO,3,Welterweight Bout,1:15,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance
UFC Fight Night: Fiziev vs. Gamrot,Jacob Malkoun vs. Cody Brundage,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Jacob Malkoun,Cody Brundage,DQ,1,Middleweight Bout,4:15,3 Rnd (5-5-5),Mark Smith,Strike to back of head
UFC Fight Night: Fiziev vs. Gamrot,Mohammed Usman vs. Jake Collier,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Mohammed Usman,Jake Collier,Decision - Unanimous,3,Heavyweight Bout,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jacob Montalvo 27 - 30. David Lethaby 28 - 29. Tony Weeks 28 - 29.
UFC Fight Night: Fiziev vs. Gamrot,Mizuki vs. Hannah Goldy,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Mizuki,Hannah Goldy,Decision - Unanimous,3,Women's Strawweight Bout,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. David Lethaby 28 - 29.
UFC Fight Night: Fiziev vs. Gamrot,Tamires Vidal vs. Montserrat Rendon,2023-09-23 00:00:00,"Las Vegas, Nevada, USA",Tamires Vidal,Montserrat Rendon,Decision - Split,3,Women's Bantamweight Bout,5:00,3 Rnd (5-5-5),Kerry Hatley,Junichiro Kamijo 28 - 29. Chris Leben 29 - 28. Jacob Montalvo 28 - 29.
